,0,1
0,10,2
1,18,2
2,69,4
3,3,5
4,69,6
5,12,7
6,17,7
7,42,7
8,50,7
9,62,7
10,18,8
11,30,9
12,9,10
13,66,12
14,40,13
15,14,15
16,20,18
17,49,18
18,8,19
19,36,20
20,3,21
21,35,21
22,5,22
23,58,22
24,60,22
25,20,23
26,16,24
27,50,25
28,63,25
29,10,28
30,56,28
31,68,28
32,11,29
33,40,30
34,53,30
35,63,31
36,54,32
37,55,32
38,36,33
39,0,35
40,57,36
41,66,36
42,19,37
43,58,37
44,16,38
45,24,38
46,68,39
47,69,39
48,52,40
49,29,42
50,4,42
51,66,43
52,47,44
53,5,44
54,69,44
55,1,45
56,3,46
57,4,47
58,48,47
59,42,48
60,63,48
61,30,49
62,5,49
63,51,50
64,31,51
65,66,52
66,21,53
67,35,54
68,61,54
69,26,55
70,51,55
71,47,56
72,49,56
73,34,57
74,23,58
75,27,58
76,11,59
77,6,60
78,69,60
79,52,61
80,31,62
81,67,62
82,1,63
83,31,64
84,37,65
85,48,65
86,62,65
87,38,66
88,15,67
89,33,67
90,40,67
91,56,67
92,42,68
93,60,68
94,58,69
